TITLE,DOI,Area
Approaches for the estimation of primary productivity and vegetation structure in the Kalahari region ,-,Ecohydrology
The southern African Regional Science Initiative (SAFARI 2000): Wet season campaigns,-,Ecohydrology
Determining land surface fractional cover from NDVI and rainfall time series for a savanna ecosystem,10.1016/s0034-4257(02)00054-8,Ecohydrology
Trends in savanna structure and composition on an aridity gradient in the Kalahari,10.1658/1100-9233(2002)013[0419:TISSAC]2.0.CO;2,Ecohydrology
Tree spacing along the Kalahari transect in southern Africa,10.1006/jare.2002.1090,Ecohydrology
Release of gaseous and particulate carbonaceous compounds from biomass burning during the SAFARI 2000 dry season field campaign,10.1029/2002jd002482,"Ecohydrology, CNH"
Regional fuel load for two climatically contrasting years in southern Africa,10.1029/2002jd002341,Ecohydrology
Soil moisture and plant stress dynamics along the Kalahari precipitation gradient,10.1029/2002jd002448,Ecohydrology
Coupling ecohydrological patterns and processes in semi-arid landscapes,-,Ecohydrology
Simulated productivity of heterogeneous patches in Southern African savanna landscapes using a canopy productivity model,10.1023/B:LAND.0000030450.11302.c2,Ecohydrology
Feasible optimality of vegetation patterns in river basins,10.1029/2004GL020260,Ecohydrology
Relationship between small-scale structural variability and simulated vegetation productivity across a regional moisture gradient in southern Africa,10.1111/j.1365-2486.2003.00704.x,Ecohydrology
Vegetation structure characteristics and relationships of Kalahari woodlands and savannas,10.1111/j.1365-2486.2004.00740.x,Ecohydrology
A  simulation analysis of the detectability of understory burns in miombo woodlands,10.1016/j.rse.2004.01.009,Ecohydrology
Tree canopy effects on simulated water stress in southern African savannas,10.1007/s10021-004-0027-9,Ecohydrology
On the coupled ecohydrological and geomorphological organization of river basins,10.1016/j.advwatres.2004.08.013,Ecohydrology
Dynamic response of grass cover to rainfall variability: Implications for the function and persistence of savanna ecosystems,10.1016/j.advwatres.2004.10.014,Ecohydrology
Determinants of woody cover in African savannas: A continental scale analysis,10.1038/nature04070,Ecohydrology
Dynamic change in the woodland and savanna ecosystems of sub-tropical Africa. ,-,"Ecohydrology, CNH"
Pattern and process in savanna ecosystems,10.1007/1-4020-4260-4_15,Ecohydrology
On the ecohydrology of structurally heterogeneous semi-arid landscapes,10.1029/2005WR004683,Ecohydrology
Ecohydrological optimization of patterns and processes in water-limited ecosystems.,-,Ecohydrology
A temporally explicit Production Efficiency Model for fuel load allocation in southern Africa,10.1007/s10021-007-9082-3,Ecohydrology
Spatial variation in vegetation structure coupled to plant available water at landscape scales in a Brazilian savanna,10.1007/s00442-007-0747-6,Ecohydrology
When is breeding for drought tolerance optimal when drought is random?,10.1111/j.1469-8137.2007.02067.x,Ecohydrology
On soil moisture-vegetation feedbacks in dryland plant ecosystems,10.1029/2006jg000379,Ecohydrology
Positive feedbacks promote power-law clustering of Kalahari vegetation,10.1038/nature06060,Ecohydrology
Spatial patterns of soil nutrients in two southern African savannas,10.1029/2007JG000584,Ecohydrology
Decoupling structural and environmental determinants of sap velocity,10.17660/ActaHortic.2009.846.5,Ecohydrology
"On the calibration of continuous, high-precision δ18O and δ2H measurements using an off-axis integrated cavity output spectrometer ",10.1002/rcm.3905,Sensors
Ecohydrological optimization of pattern and process in dryland ecosystems: A tradeoff-based hypothesis,10.1029/2008WR007230,Ecohydrology
"Decoupling structural and environmental determinants of sap velocity: Part II, Observational application",10.1016/j.agrformet.2008.10.006,Ecohydrology
"Decoupling structural and environmental determinants of sap velocity: Part I, Theoretical development",10.1016/j.agrformet.2008.10.010,Ecohydrology
Spatial heterogeneity and sources of soil carbon in Southern African savannas,10.1016/J.GEODERMA.2008.12.014,Ecohydrology
Combined effect of soil moisture and nitrogen availability variations on grass productivity in African savannas,10.1007/s11104-009-0085-z,Ecohydrology
Nutrient limitation on above-ground grass production in four savanna types along the Kalahari Transect,10.1016/j.jaridenv.2009.08.012,Ecohydrology
An ecohydrological approach to  predict regional species distribution patterns in dryland ecosystems,10.1016/j.advwatres.2009.12.003,Ecohydrology
On the importance of accurate depiction of infiltration processes on model soil moisture and vegetation water stress,10.1002/eco.79,Ecohydrology
Partitioning evapotranspiration across gradients of woody plant cover: assessment of a stable isotope technique,10.1029/2010GL043228,Ecohydrology
Herbivores and mutualistic ants interact to regulate tree photosynthesis,10.1111/j.1469-8137.2010.03286.x,Ecohydrology
Quantifying Transient Soil Moisture Dynamics Using Multipoint Direct-Current Resistivity in Homogeneous Sand,10.2136/vzj2010.0031,Sensors
Climatological determinants of woody cover in Africa,10.1073/pnas.1013100108,Ecohydrology
Coupling vegetation organization patterns to soil resource heterogeneity in a central Kenyan dryland using geophysical imagery,10.1029/2010WR010127,"Sensors, Ecohydrology"
Metabolic principles of river basin organization,10.1073/pnas.1107561108,Ecohydrology
"Ecohydrology in Practice: Strengths, Conveniences, and Opportunities",10.1002/eco.248,Ecohydrology
An ecohydrological approach to predicting hillslope-scale vegetation patterns in dryland ecosystems,10.1029/2011WR010524,Ecohydrology
Multi-sensor derivation of regional vegetation fractional cover in Africa,10.1016/j.rse.2012.06.005,Ecohydrology
Characterizing ecohydrological and biogeochemical connectivity across multiple scales: a new conceptual framework,10.1002/eco.187,Ecohydrology
"Ecohydrological interactions in a two-phase mosaic dryland: implications for regime shifts, resilience, and restoration",10.1002/eco.260,Ecohydrology
Direct quantification of leaf transpiration isotopic composition,10.1016/j.agrformet.2011.10.018,Ecohydrology
A model-based evaluation of woody plant encroachment impacts on coupled carbon and water cycles,10.1029/2011JG001899,Ecohydrology
Understanding the role of ecohydrological feedbacks in ecosystem-state change in drylands,10.1002/eco.265,Ecohydrology
Evaluating ecohydrological theories of woody root distribution in the Kalahari,10.1371/journal.pone.0033996,Ecohydrology
Uncertainties in the assessment of the isotopic composition of surface fluxes: A direct comparison of techniques using laser‐based water vapor isotope analyzers,10.1029/2011JD017168,Ecohydrology
Reframing hydrology education to solve coupled human and environmental problems,10.5194/hess-16-4023-2012,"Ecohydrology, CNH"
Stable isotopes of water vapor in the vadose zone: A review of measurement and modeling techniques ,10.2136/vzj2011.0165,Sensors
Dryland ecohydrology and climate change: critical issues and technical advances ,10.5194/hess-16-2585-2012,Ecohydrology
Seasonal coupling of canopy structure and function in African tropical forests and its environmental controls,10.1890/ES12-00232.1,Ecohydrology
Using atmospheric trajectories to model the isotopic composition of rainfall in central Kenya,10.1890/ES12-00160.1,Ecohydrology
Ecosystem-scale spatial heterogeneity of stable isotopes of soil nitrogen in African savannas,10.1007/s10980-012-9776-6,Ecohydrology
The effect of warming on grassland evapotranspiration partition using laser-based isotope monitoring techniques,10.1016/j.gca.2012.12.047,Ecohydrology
Analytical expressions of variability in ecosystem structure and function obtained from three-dimensional stochastic vegetation modelling,10.1098/rspa.2013.0003,Ecohydrology
Virtual water trade and development in Africa,10.5194/hess-17-3969-2013,CNH
On The Vulnerability of Water Limited Ecosystems to Climate Change,10.3390/w5020819,Ecohydrology
